class,rank,token,weight
bug,1,bug,7.102636663758099
bug,2,fix,2.8926983135356275
bug,3,broken,2.480149349678972
bug,4,not,2.364431376148907
bug,5,reproduce,2.290165011487204
bug,6,when,2.2620898295563583
bug,7,happened,2.217437519019306
bug,8,incorrect,2.1503690524167127
bug,9,wrong,2.1323873900698858
bug,10,fails,2.073047199077355
bug,11,doesn,1.9565978704889881
bug,12,crashes,1.906415865544532
bug,13,shows,1.8861635806869679
bug,14,twice,1.8240696961767275
bug,15,expected,1.8002714081901228
bug,16,what happened,1.7782753273198064
bug,17,affected,1.762161694102049
bug,18,does not,1.7130156259376281
bug,19,failing,1.6783955466543912
bug,20,grafik,1.6729110830033824
feature,1,add,4.725175715223881
feature,2,feature,4.105641292281007
feature,3,enhancement,3.2259247218747356
feature,4,improve,3.1676677869498864
feature,5,allow,2.4981468924619548
feature,6,create,2.3596217736823504
feature,7,support,2.31802486498397
feature,8,improvement,2.281195112435264
feature,9,implement,2.0787736715084315
feature,10,make,2.0002791663037764
feature,11,needed,1.853356695591222
feature,12,alternatives,1.7753744164652943
feature,13,feature description,1.7169886552065778
feature,14,implemented,1.6867250797990374
feature,15,feat,1.673705102994003
feature,16,store,1.6426575476191418
feature,17,currently,1.6046611186710695
feature,18,expose,1.6012242869836812
feature,19,for,1.562396322213926
feature,20,should support,1.5591632851025927
question,1,question,7.312303439899173
question,2,how,4.214183253794138
question,3,is there,3.4566773104666346
question,4,is it,3.175983676906115
question,5,hi,3.110307050990179
question,6,does,2.8044653760643263
question,7,should we,2.720252758797735
question,8,azure,2.431622138540229
question,9,how can,2.1718336313262325
question,10,can,2.143396337684819
question,11,hello,2.1090485143686073
question,12,why,2.061539059337645
question,13,wondering,2.050760158495911
question,14,thanks,2.0091029067304054
question,15,my,1.9316281171974512
question,16,is this,1.9209548588769008
question,17,when add,1.8657431108943066
question,18,comment _no,1.8539287120765058
question,19,how to,1.8524915596925258
question,20,parallel,1.8321964282814631
